doi,times_cited
10.1177/1461444818807133,19
10.1177/14614448211067259,5
10.1177/14614448221101550,1
10.1177/14614448211027173,6
10.1177/1461444814541783,7
10.1177/1461444817733962b,0
10.1177/1461444821994491,12
10.1177/14614448221099173,6
10.1177/14614448221075296,16
10.1177/14614448211018833,18
10.1177/1461444817733962c,4
10.1177/1461444817744790,13
10.1177/14614448221098364,1
10.1177/14614448211038761,33
10.1177/14614448211027174,28
10.1177/1461444819872678,25
10.1177/1461444814568784,226
10.1177/14614448221101162,0
10.1177/1461444820905068,18
10.1177/1461444816677532,174
10.1177/1461444818806496,5
10.1177/1461444815612447,122
10.1177/1461444819870306,21
10.1177/14614448221099900,3
10.1177/1461444816650641,17
10.1177/14614448231173316,0
10.1177/1461444817727264,33
10.1177/14614448221099536,8
10.1177/14614448231166056,3
10.1177/1461444820975723,12
10.1177/1461444820956341,41
10.1177/14614448211059488,4
10.1177/14614448221122146,2
10.1177/1461444820959296,109
10.1177/1461444817737297,5
10.1177/1461444820921349,48
10.1177/1461444820912722,31
10.1177/1461444814531875,24
10.1177/14614448211058850,8
10.1177/1461444817745018,30
10.1177/1461444818792425,30
10.1177/14614448211046616,28
10.1177/14614448221122212,2
10.1177/1461444817719087,7
10.1177/1461444820933313,30
10.1177/1461444817733962a,0
10.1177/14614448221129217,0
10.1177/14614448221099172,2
10.1177/1461444820932868,14
10.1177/1461444820934032,6
10.1177/1461444819893984,73
10.1177/14614448221077653,0
10.1177/1461444819867318,22
10.1177/1461444814547683,13
10.1177/1461444819854732,4
10.1177/1461444819888746,87
10.1177/14614448211033493,0
10.1177/14614448211059489,17
10.1177/1461444820945317,12
10.1177/1461444819845917,7
10.1177/1461444814532193,26
10.1177/1461444820926632,11
10.1177/1461444818760870,6
10.1177/1461444818787351,7
10.1177/14614448221088274,6
10.1177/14614448211035769,7
10.1177/1461444819846054,19
10.1177/1461444815625948,26
10.1177/1461444819888398,67
10.1177/14614448211040521,1
10.1177/1461444814530248,24
10.1177/14614448221075774,5
10.1177/14614448221101502,1
10.1177/1461444814554895,99
10.1177/14614448211012372,9
10.1177/1461444816661552,15
10.1177/1461444814543995,640
10.1177/1461444819863408,31
10.1177/1461444818791326,22
10.1177/1461444821989634,17
10.1177/1461444819868686,31
10.1177/14614448211034848,1
10.1177/1461444818808094,18
10.1177/1461444819843311,9
10.1177/14614448211024142,13
10.1177/14614448211047845,14
10.1177/1461444820968907,5
10.1177/1461444818791520,67
10.1177/1461444814555951,40
10.1177/1461444820944851,3
10.1177/14614448221079032,7
10.1177/1461444819853821,27
10.1177/1461444813518579,21
10.1177/1461444817706074,85
10.1177/14614448211021032,9
10.1177/1461444820972390,20
10.1177/1461444819842875,36
10.1177/1461444814535194,261
10.1177/1461444820959298,32
10.1177/1461444814521595,327
10.1177/1461444820962109,18
10.1177/1461444820960079,8
10.1177/1461444814567982,74
10.1177/1461444817725064,40
10.1177/1461444820903990,0
10.1177/14614448211024546,38
10.1177/1461444814554898,77
10.1177/1461444819865984,172
10.1177/1461444820964968,48
10.1177/1461444815586982,51
10.1177/1461444815583491,23
10.1177/1461444820978999,12
10.1177/1461444819876237,10
10.1177/1461444821989621,9
10.1177/1461444819894304,23
10.1177/1461444816663480,31
10.1177/1461444819858278,13
10.1177/1461444819873644,30
10.1177/14614448231174224,8
10.1177/1461444816649913,38
10.1177/1461444814520873,76
10.1177/1461444820954201,8
10.1177/1461444817711402,39
10.1177/1461444819831779,44
10.1177/1461444819851479,61
10.1177/1461444813520301,121
10.1177/1461444816681540,97
10.1177/14614448211063185,19
10.1177/1461444813518878,6
10.1177/1461444817731923,135
10.1177/14614448211063621,13
10.1177/1461444818779080,34
10.1177/1461444817712937,13
10.1177/1461444818766092,25
10.1177/1461444819879426,30
10.1177/1461444820943878,34
10.1177/1461444818821316,196
10.1177/1461444820958123,83
10.1177/1461444817698479,36
10.1177/1461444818821356,7
10.1177/1461444817697917,79
10.1177/1461444817717511,7
10.1177/1461444814523726,158
10.1177/1461444816663701,12
10.1177/14614448211067836,1
10.1177/1461444819856926,27
10.1177/1461444818820300,10
10.1177/1461444816642210,44
10.1177/14614448221085559,11
10.1177/1461444820925800,19
